month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2010-03,,1.9929739233133397,,2.071475577889913,0.942801070623074,3.057569588138324,2.2550956944232365,0.7344717904594075,1.1466761983298204,,1.345384361779207,-1.7183531959447167
2010-04,5.217063231242608,4.588868806282779,,1.2071696655287816,1.8642103018541587,1.3721930716437434,-0.28685903226645626,0.3874022047906074,1.2654268966922566,,1.345384361779207,-1.7183531959447167
2010-05,,6.4692168721445,,1.2071696655287816,1.8642103018541587,1.3721930716437434,1.2107313395324713,0.8501616523490069,1.470956951550319,,1.345384361779207,-1.7183531959447167
2010-06,,4.328421108251266,,1.2071696655287816,1.8642103018541587,1.3721930716437434,0.10483448865029847,1.197231238017807,1.5440343043887412,,1.345384361779207,-0.8064492246730381
2010-07,3.7901002255981315,1.8916419176262138,,1.2071696655287816,1.6849918460089075,1.3721930716437434,-0.17304992511201178,0.9658515142386069,1.3796102605022913,,1.345384361779207,-0.7156378301238441
2010-08,,0.7316345057882184,,1.2071696655287816,1.6437590251541387,1.3721930716437434,2.3990210236025353,1.4286109617970064,1.0210744981387823,,1.345384361779207,-1.676923518098032
2010-09,,1.4436688480214102,,1.2071696655287816,1.7983821033595206,1.3721930716437434,0.5019012016856128,1.6599906855762065,0.9023237997763461,,1.345384361779207,-1.0431253218433714
2010-10,3.0290532892544118,3.8151359662967934,,1.2071696655287816,0.5387194262463426,1.3721930716437434,0.22055871859312354,1.7756805474658066,0.9046074670525467,,1.345384361779207,-0.8508500580552057
2010-11,,5.218987109264871,,1.2071696655287816,0.49542496434883554,1.3721930716437434,1.4310532874618431,2.701199442582606,1.0667478436627962,,1.345384361779207,-1.520059663439248
2010-12,,5.382113021524652,,1.2071696655287816,-0.4209074758145056,1.3721930716437434,1.6462037324360403,2.816889304472206,1.2996819058352669,,1.345384361779207,-0.19499448079147927
2011-01,3.0290532892544118,4.239341798354827,,1.2071696655287816,,1.3721930716437434,0.5326013163763119,2.816889304472206,1.269994231244658,,1.345384361779207,1.2386023964479305
2011-02,,3.1059988196633492,,2.2526717859320793,,2.5182454256749303,,3.2796487520306057,1.4229999387501044,,1.345384361779207,2.373163094270826
2011-03,,2.2420846284574045,,2.8324996516670122,2.031347541188963,0.49175409544669585,2.6137296478063705,3.330552291262029,1.5668709771507483,,1.345384361779207,-0.2358402132323241
2011-04,3.219315023340341,2.471427812558255,,1.2071696655287816,1.5344920498890025,1.3721930716437434,-0.04644321318323291,2.816889304472206,1.5851403153603538,,1.345384361779207,-0.7835885363691384
2011-05,,2.9816670001276377,,1.2071696655287816,1.0850543025720256,1.3721930716437434,1.7834732538287146,2.816889304472206,1.47324061882652,,1.345384361779207,0.3978355994448988
2011-06,,1.961869409382686,,1.2071696655287816,0.9943420966915346,1.3721930716437434,0.5009443810995934,2.816889304472206,1.4663896169979178,,1.345384361779207,1.9537891468118929
2011-07,3.0290532892544118,0.39697768676185163,,1.2071696655287816,1.4499647671367268,1.3721930716437434,-0.8064367755945785,2.816889304472206,1.5417506371125407,,1.345384361779207,3.0426621307588784
2011-08,,0.10885774292806531,,1.2071696655287816,1.2046294830508544,1.3721930716437434,2.656575768583415,2.816889304472206,1.6376646627129698,,1.345384361779207,1.4820299446149827
2011-09,,0.44722602744515993,,1.2071696655287816,0.6438631194260024,1.3721930716437434,0.9614434956780905,2.816889304472206,1.5714383117031496,,1.345384361779207,1.4214795626061147
2011-10,2.4582680869966214,0.5766967994240133,,1.2071696655287816,1.2788485605894375,1.3721930716437434,0.42138555617727874,2.816889304472206,1.404730600540499,,1.345384361779207,1.5854391825321317
2011-11,,-0.13689305133245913,,1.2071696655287816,1.1097939950848865,1.3721930716437434,1.938181745083307,2.816889304472206,1.0576131745579933,,1.345384361779207,0.9978187148231382
2011-12,,-2.3403188379412496,,1.2071696655287816,0.8129176849305533,1.3721930716437434,1.270877261917732,2.4987421842758057,0.5369370355842349,,1.345384361779207,0.8228073991395523
2012-01,1.8874828847388296,-0.2446508942382765,,1.2071696655287816,,1.3721930716437434,-0.18026239836507946,2.3194228983469265,0.3017193061355633,,1.345384361779207,2.4108611282487957
2012-02,,0.11667035793461641,,-1.552448582953417,,0.8512585119999599,,2.816889304472206,0.08248724762029663,,1.345384361779207,1.3699992274890715
2012-03,,0.7474203975930335,2.5303503538353183,5.151811114606743,3.490989399447768,1.6602392399173598,2.0037939692390285,1.312921099907407,-0.07736946171375199,,1.345384361779207,0.6920899025076246
2012-04,1.3166976824810392,2.0977617548421668,2.9078921621088125,1.2071696655287816,0.21504178253640974,1.366064429765578,-0.5363373827260897,1.7756805474658066,-0.1572978163807763,,1.345384361779207,0.723473774630345
2012-05,,3.233268812323146,1.6095166751194714,0.8031021215947477,-0.45911483843905543,1.091225729885073,0.9137890436140609,1.5443008236866065,-0.2440771728764027,,0.6775340105208846,0.6536434488590551
2012-06,,-0.031016231769805478,0.9649331000183757,0.9118198464200472,-0.15605360515650687,1.0212905716849896,-0.10727093565746866,1.0815413761282069,-0.40393388221045134,,0.6775340105208846,-0.6181925824272866
2012-07,0.9361742143091795,-0.4749097812423662,2.898683825321656,0.875580604811614,-0.3531534984218456,0.9983459170758507,-0.32256474518358647,0.15602248101140784,-0.5592232569920986,,0.7507471601874408,0.9768979740199638
2012-08,,-0.6384743725041202,1.0570164678899618,0.7668628799863139,-0.2994213602531627,0.8512585119999599,2.316181688974191,-0.306736966546992,-0.7396329718119535,,0.7507471601874408,0.5089661231045796
2012-09,,-1.6702149662793553,1.7016000429910574,0.6581451551610144,-0.49210109512287026,0.8757730795126083,0.28104327218910674,-0.07535724276779221,-0.8789366756601958,,0.7507471601874408,0.4968060050647822
2012-10,0.7459124802232491,-1.1670781365844312,-0.6004841537985603,0.7668628799863139,-0.6281694039436064,1.120918754639093,0.21578961117472345,-0.19104710465739222,-0.8949223465936007,,0.7507471601874408,0.5148158515850185
2012-11,,-0.3860037564765062,1.0570164678899618,0.9118198464200472,0.017124242433520877,1.1944624571770388,1.368815050523051,-0.422426828436592,-0.7145126317737458,,0.7507471601874408,0.28045098306863536
2012-12,,-0.3474331967887493,0.8728497321467963,1.0930160544622136,0.3325553219725001,1.292520727227633,1.2026794311302762,-0.07535724276779221,-0.5866272643065069,,0.7507471601874408,0.04636912781618917
